Any,Núm. Mes,Mes,Regió Policial (RP),Àrea Bàsica Policial (ABP),Província,Comarca,Municipi,Tipus de lloc dels fets,Canal dels fets,Tipus de fet,Títol del fet (Codi Penal) o Llei de referència,Tipus de fet (Codi penal) o d'Infracció (altres lleis),Àmbit fet,Nombre fets o infraccions,Nombre víctimes
2020,6,Juny,RP Metropolitana Sud,ABP Martorell,Barcelona,Baix Llobregat,Martorell,Parcs/Jardins,Presencial,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,1
2020,6,Juny,RP Metropolitana Barcelona,ABP Nou Barris,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les lesions,Maltractaments en l'àmbit de la llar,LGTBI-fòbia,1,1
2020,6,Juny,RP  Metropolitana Nord,ABP Santa Coloma de Gramenet,Barcelona,Barcelonès,Santa Coloma de Gramenet,Centre religiós catòlic,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Danys,Religiós,1,1
2020,6,Juny,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,Aporofòbia,1,1
2020,6,Juny,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Resta de municipis ABP Garraf,Habitatge - Primera residència - Casa aïllada,Presencial,Delictes,Delictes contra la llibertat,Assetjament,LGTBI-fòbia,1,1
2020,6,Juny,RP Camp de Tarragona,ABP Tarragonès,Tarragona,Tarragonès,Salou,Establiments - Restauració - Bar musical - Centre comercial,Presencial,Delictes,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,LGTBI-fòbia,1,1
2020,6,Juny,RP Metropolitana Sud,ABP Garraf,Barcelona,Garraf,Vilanova i la Geltrú,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,6,Juny,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,3
2020,6,Juny,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Girona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),"Ètnic, origen nacional i/o racial",1,1
2020,6,Juny,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Segrià,Lleida,Via pública urbana,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,2
2020,6,Juny,RP Metropolitana Barcelona,ABP Eixample,Barcelona,Barcelonès,Barcelona,Habitatge - Primera residència - Pis/apartament,Internet o xarxes socials,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,LGTBI-fòbia,1,1
2020,6,Juny,RP Girona,ABP Gironès - Pla de l'Estany,Girona,Gironès,Resta de municipis ABP Gironès - Pla de l'Estany,Habitatge - Primera residència - Casa adossada,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,4
2020,6,Juny,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Via pública urbana,Presencial,Delictes,De les lesions,Lesions (lleu),LGTBI-fòbia,1,2
2020,6,Juny,RP Camp de Tarragona,ABP Baix Camp - Priorat,Tarragona,Baix Camp,Resta de municipis ABP Baix Camp - Priorat,Platja,Presencial,Delictes,Delictes contra la llibertat,Amenaces (lleu),"Ètnic, origen nacional i/o racial",1,2
2020,6,Juny,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Via pública urbana,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,LGTBI-fòbia,1,2
2020,6,Juny,RP  Metropolitana Nord,ABP Badalona,Barcelona,Barcelonès,Badalona,Habitatge - Escala/portal finca/replà,Presencial,Delictes,Delictes contra la Constitució,Contra exercici drets fonamentals i llibertats públiques,"Ètnic, origen nacional i/o racial",1,2
2020,6,Juny,RP Metropolitana Barcelona,ABP Ciutat Vella,Barcelona,Barcelonès,Barcelona,Transport públic - Metro - Estació,Presencial,Delictes,Delictes contra el patrimoni i contra l’ordre socioeconòmic,Robatori amb violència i/o intimidació,"Ètnic, origen nacional i/o racial",1,1
2020,6,Juny,RP Central,ABP Solsonès,Lleida,Solsonès,Resta de municipis ABP Solsonès,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,"Ètnic, origen nacional i/o racial",1,5
2020,6,Juny,RP Ponent,ABP Segrià - Garrigues - Pla d'Urgell,Lleida,Garrigues,Resta de municipis ABP Segrià - Garrigues - Pla d'Urgell,Via pública urbana,Presencial,Delictes,Delictes contra la llibertat,Amenaces,LGTBI-fòbia,1,1
2020,6,Juny,RP Metropolitana Sud,ABP Gavà,Barcelona,Baix Llobregat,Gavà,Habitatge - Primera residència - Pis/apartament,Presencial,Delictes,De les tortures i altres delictes contra la integritat moral,Tracte degradant / vexatori,"Ètnic, origen nacional i/o racial",1,2
